code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
000032,易方达信用债债券A,0.08%,10元起购,0.90%,1.90%,2.35%,4.69%,15.81%,41.75%,债券型,39.04亿元（2019-12-31）,2013-04-24,易方达基金
000664,国联安通盈混合A,0.07%,100元起购,0.33%,1.04%,1.53%,8.39%,15.02%,45.22%,混合型,0.04亿元（2019-12-31）,2014-06-13,国联安基金
000710,交银现金宝货币A,0.00%,100元起购,0.22%,0.64%,1.26%,2.42%,9.33%,17.53%,货币型,137.27亿元（2019-12-31）,2014-09-12,交银施罗德基金
000709,华安汇财通货币,0.00%,100元起购,0.20%,0.63%,1.22%,2.52%,10.59%,20.63%,货币型,99.35亿元（2019-12-31）,2014-07-17,华安基金
000708,华安安享混合,0.15%,100元起购,0.41%,1.32%,1.99%,4.68%,12.83%,23.10%,混合型,12.03亿元（2019-12-31）,2015-01-23,华安基金
000707,景顺长城景丰货币B,0.00%,5000000元起购,0.22%,0.67%,1.34%,2.71%,10.48%,19.77%,货币型,129.72亿元（2019-12-31）,2014-09-16,景顺长城基金
000706,中邮多策略灵活配置混合,0.15%,100元起购,12.25%,25.93%,30.38%,47.83%,30.48%,62.32%,混合型,1.73亿元（2019-12-31）,2014-07-24,中邮基金
000705,易方达天天增利货币B,0.00%,5000000元起购,0.23%,0.66%,1.30%,2.56%,11.13%,22.54%,货币型,0.91亿元（2019-12-31）,2014-06-25,易方达基金
000704,易方达天天增利货币A,0.00%,100元起购,0.20%,0.60%,1.17%,2.31%,10.33%,20.89%,货币型,39.62亿元（2019-12-31）,2014-06-25,易方达基金
000804,中信建投稳利混合A,0.12%,100元起购,1.02%,0.73%,3.91%,6.25%,10.68%,37.79%,混合型,0.53亿元（2019-12-31）,2014-09-26,中信建投基金
000803,工银研究精选股票,0.15%,100元起购,17.32%,38.65%,50.07%,66.18%,54.46%,105.90%,股票型,0.65亿元（2019-12-31）,2014-10-23,工银瑞信基金
000802,中金纯债C,0.00%,100元起购,0.91%,1.83%,2.11%,3.25%,11.96%,21.92%,债券型,0.13亿元（2019-12-31）,2014-11-04,中金基金
000800,华商未来主题混合,0.15%,100元起购,17.48%,27.13%,31.76%,47.70%,-24.87%,-13.30%,混合型,9.73亿元（2019-12-31）,2014-10-14,华商基金
000801,中金纯债A,0.08%,100元起购,0.89%,1.89%,2.35%,3.76%,13.38%,24.83%,债券型,1.05亿元（2019-12-31）,2014-11-04,中金基金
000799,民生加银家盈半年定期宝,0.00%,100元起购,0.67%,1.32%,1.88%,4.11%,--,4.13%,定开债券,4.40亿元（2018-12-31）,2018-02-11,民生加银基金
000798,民生加银家盈季度定期宝,0.00%,100元起购,0.89%,0.96%,1.76%,3.78%,--,6.49%,理财型,2.02亿元（2019-03-31）,2017-09-13,民生加银基金
000797,方正富邦金小宝货币,0.00%,100元起购,0.23%,0.66%,1.34%,2.70%,10.86%,20.15%,货币型,97.90亿元（2019-12-31）,2014-09-24,方正富邦基金
000903,新华活期添利货币A,0.00%,100元起购,0.22%,0.63%,1.24%,2.44%,10.70%,18.06%,货币型,14.49亿元（2019-12-31）,2014-12-04,新华基金
000902,国开货币B,0.00%,5000000元起购,0.23%,0.67%,1.32%,2.57%,10.65%,19.00%,货币型,0.42亿元（2019-12-31）,2015-01-14,国开泰富基金
000901,国开货币A,0.00%,100元起购,0.21%,0.61%,1.20%,2.32%,9.85%,17.55%,货币型,0.65亿元（2019-12-31）,2015-01-14,国开泰富基金
000899,华富恒稳纯债债券C,0.00%,100元起购,0.83%,1.75%,2.43%,3.30%,12.34%,22.00%,债券型,0.01亿元（2019-12-31）,2014-12-17,华富基金
000898,华富恒稳纯债债券A,0.08%,100元起购,0.86%,1.86%,2.61%,3.72%,13.73%,24.88%,债券型,14.38亿元（2019-12-31）,2014-12-17,华富基金
000897,鑫元聚鑫收益增强债C,0.00%,100元起购,3.09%,3.91%,4.56%,8.66%,15.46%,10.32%,债券型,0.06亿元（2019-12-31）,2014-12-02,鑫元基金
000896,鑫元聚鑫收益增强债A,0.06%,100元起购,3.12%,4.02%,4.78%,9.10%,16.91%,12.67%,债券型,0.07亿元（2019-12-31）,2014-12-02,鑫元基金
000895,国寿安保薪金宝货币,暂停申购,暂停申购,0.20%,0.60%,1.23%,2.52%,10.77%,20.01%,货币型,196.69亿元（2019-12-31）,2014-11-20,国寿安保基金
000996,中银新动力股票,0.15%,100元起购,10.49%,20.74%,31.50%,61.20%,6.76%,-11.50%,股票型,12.41亿元（2019-12-31）,2015-02-13,中银基金
000995,建信睿盈灵活配置混合C,0.00%,100元起购,16.35%,29.41%,28.04%,31.95%,25.39%,21.00%,混合型,0.55亿元（2019-12-31）,2015-02-03,建信基金
000994,建信睿盈灵活配置混合A,0.15%,100元起购,16.44%,29.65%,28.47%,32.91%,28.34%,26.80%,混合型,0.94亿元（2019-12-31）,2015-02-03,建信基金
000993,华宝稳健回报混合,0.15%,100元起购,7.45%,15.54%,19.21%,23.29%,0.54%,-6.30%,混合型,2.87亿元（2019-12-31）,2015-03-27,华宝基金
000992,广发对冲套利定期开放混合,0.15%,100元起购,1.70%,4.11%,5.58%,19.14%,17.99%,34.51%,混合型,6.59亿元（2019-12-31）,2015-02-06,广发基金
000991,工银战略转型股票,0.15%,100元起购,14.96%,32.89%,38.73%,56.35%,75.41%,79.80%,股票型,10.72亿元（2019-12-31）,2015-02-16,工银瑞信基金
000990,嘉实全球互联网股票美元现钞,暂停申购,暂停申购,3.12%,17.56%,22.27%,26.56%,56.82%,58.70%,QDII,6.24亿元（2019-12-31）,2015-04-15,嘉实基金
000989,嘉实全球互联网股票美元现汇,暂停申购,暂停申购,3.12%,17.56%,22.27%,26.56%,56.82%,58.70%,QDII,6.24亿元（2019-12-31）,2015-04-15,嘉实基金
001105,信达澳银转型创新股票,0.15%,100元起购,12.94%,24.71%,26.52%,34.51%,32.07%,-12.70%,股票型,4.87亿元（2019-12-31）,2015-04-15,信达澳银基金
001104,华安新丝路主题股票,0.15%,100元起购,8.06%,12.36%,20.49%,55.86%,63.60%,58.20%,股票型,15.05亿元（2019-12-31）,2015-04-09,华安基金
001103,前海开源工业革命4.0混合,0.15%,100元起购,11.21%,24.54%,28.00%,52.15%,119.02%,121.21%,混合型,9.92亿元（2019-12-31）,2015-03-27,前海开源基金
001102,前海开源国家比较优势混合,0.15%,100元起购,10.07%,21.68%,29.05%,59.49%,89.75%,111.00%,混合型,6.42亿元（2019-12-31）,2015-05-08,前海开源基金
001101,银华惠添益货币,0.00%,100元起购,0.18%,0.60%,1.12%,2.18%,9.35%,10.90%,货币型,6.41亿元（2019-12-31）,2016-07-21,银华基金
001097,华泰柏瑞积极优选股票,0.15%,100元起购,9.20%,11.77%,16.53%,27.60%,15.02%,-28.80%,股票型,2.89亿元（2019-12-31）,2015-03-26,华泰柏瑞基金
001096,国寿安保聚宝盆货币,0.00%,100元起购,0.20%,0.64%,1.28%,2.65%,10.97%,18.46%,货币型,28.12亿元（2019-12-31）,2015-03-02,国寿安保基金
001095,国投瑞银添利宝货币B,暂停申购,暂停申购,0.20%,0.64%,1.25%,2.50%,10.32%,16.16%,货币型,27.94亿元（2019-12-31）,2015-04-23,国投瑞银基金
001194,景顺长城稳健回报混合A,暂停申购,暂停申购,1.59%,4.17%,5.11%,8.70%,18.27%,27.50%,混合型,5.74亿元（2019-12-31）,2015-04-10,景顺长城基金
001193,中金消费升级,0.15%,100元起购,5.58%,8.87%,12.80%,36.54%,4.25%,-9.20%,股票型,1.68亿元（2019-12-31）,2015-06-24,中金基金
001192,上投摩根整合驱动混合,0.15%,100元起购,8.89%,18.17%,22.70%,41.62%,16.30%,-26.50%,混合型,8.35亿元（2019-12-31）,2015-04-23,上投摩根基金
001191,鹏华弘润混合C,0.15%,100元起购,3.68%,6.48%,8.37%,12.85%,22.52%,29.80%,混合型,0.04亿元（2019-12-31）,2015-04-14,鹏华基金
001190,鹏华弘润混合A,0.15%,100元起购,3.71%,6.56%,8.54%,13.18%,23.44%,32.23%,混合型,14.90亿元（2019-12-31）,2015-04-14,鹏华基金
001189,广发聚宝混合A,0.15%,100元起购,1.70%,3.33%,4.18%,7.00%,20.55%,26.58%,混合型,2.64亿元（2019-12-31）,2015-04-09,广发基金
001188,鹏华改革红利股票,0.15%,100元起购,3.08%,7.73%,7.73%,23.98%,22.92%,0.30%,股票型,12.75亿元（2019-12-31）,2015-04-28,鹏华基金
001186,富国文体健康股票,0.15%,100元起购,12.71%,24.53%,32.80%,54.13%,74.91%,40.10%,股票型,9.95亿元（2019-12-31）,2015-05-06,富国基金
001272,兴业聚利灵活配置混合,0.15%,100元起购,4.36%,11.89%,18.29%,29.64%,11.67%,67.50%,混合型,1.97亿元（2019-12-31）,2015-05-07,兴业基金
001271,英大灵活配置混合型发起式B,0.00%,100元起购,16.04%,26.48%,28.62%,50.16%,55.51%,65.14%,混合型,1.24亿元（2019-12-31）,2015-05-07,英大基金
001270,英大灵活配置混合型发起式A,0.10%,100元起购,16.10%,26.63%,28.93%,51.65%,59.52%,70.70%,混合型,0.53亿元（2019-12-31）,2015-05-07,英大基金
001268,富国国家安全主题混合,0.15%,100元起购,17.53%,40.26%,45.90%,87.55%,50.62%,-2.10%,混合型,13.56亿元（2019-12-31）,2015-05-14,富国基金
001267,泰达宏利蓝筹混合,0.15%,100元起购,8.24%,16.06%,22.46%,47.20%,51.84%,-13.30%,混合型,1.33亿元（2019-12-31）,2015-06-03,泰达宏利基金
001266,国投瑞银招财混合,0.15%,100元起购,16.30%,37.52%,56.15%,81.81%,47.63%,52.94%,混合型,1.18亿元（2019-12-31）,2015-06-03,国投瑞银基金
001265,国泰兴益灵活配置混合A,0.15%,100元起购,0.91%,2.02%,4.03%,6.84%,18.60%,26.78%,混合型,0.60亿元（2019-12-31）,2015-05-14,国泰基金
001264,银华恒利灵活配置混合A,0.06%,100元起购,10.30%,24.55%,33.21%,42.92%,74.85%,85.01%,混合型,0.55亿元（2019-12-31）,2015-05-06,银华基金
001363,长城久惠灵活配置混合,0.15%,100元起购,2.91%,5.08%,6.81%,9.18%,14.49%,15.18%,混合型,3.16亿元（2019-12-31）,2015-07-27,长城基金
001362,景顺长城领先回报混合A,0.10%,100元起购,2.17%,4.93%,6.63%,12.35%,26.67%,38.95%,混合型,2.99亿元（2019-12-31）,2015-05-25,景顺长城基金
001361,景顺中证TMT150ETF联接,0.12%,10元起购,17.36%,38.66%,46.92%,52.80%,30.82%,-23.60%,联接基金,3.28亿元（2019-12-31）,2015-06-15,景顺长城基金
001359,国联安添鑫灵活配置混合A,0.15%,100元起购,5.98%,9.13%,13.09%,35.76%,23.60%,29.04%,混合型,0.24亿元（2019-12-31）,2015-06-02,国联安基金
001358,宝盈祥泰混合A,0.15%,100元起购,1.67%,3.56%,5.00%,7.80%,16.27%,21.27%,混合型,1.72亿元（2019-12-31）,2015-05-29,宝盈基金
001357,泓德泓富混合A,0.15%,100元起购,9.13%,20.66%,24.96%,39.16%,49.64%,69.72%,混合型,28.18亿元（2019-12-31）,2015-06-09,泓德基金
001356,广发聚泰混合C,0.00%,100元起购,3.46%,8.47%,8.98%,10.43%,25.13%,29.14%,混合型,0.08亿元（2019-12-31）,2015-06-08,广发基金
001355,广发聚泰混合A,0.12%,100元起购,3.55%,8.66%,9.17%,10.09%,26.60%,52.80%,混合型,0.62亿元（2019-12-31）,2015-06-08,广发基金
001454,鹏华弘鑫混合C,0.15%,100元起购,2.22%,4.50%,5.71%,18.39%,5.96%,10.21%,混合型,2.74亿元（2019-12-31）,2015-06-18,鹏华基金
001468,广发改革混合,0.15%,100元起购,21.05%,42.18%,54.71%,82.76%,32.04%,1.80%,混合型,3.55亿元（2019-12-31）,2015-07-27,广发基金
001467,华富永鑫灵活配置混合C,0.00%,100元起购,1.99%,3.80%,7.47%,6.41%,1.39%,7.57%,混合型,1.22亿元（2019-12-31）,2015-06-15,华富基金
001466,华富永鑫灵活配置混合A,0.15%,100元起购,1.99%,3.81%,7.56%,6.54%,1.84%,10.09%,混合型,0.02亿元（2019-12-31）,2015-06-15,华富基金
001464,光大鼎鑫混合A,0.08%,100元起购,2.89%,5.14%,9.85%,11.29%,13.86%,17.50%,混合型,1.38亿元（2019-12-31）,2015-06-11,光大保德信基金
001463,光大一带一路混合,0.15%,100元起购,10.59%,26.09%,32.15%,48.09%,17.83%,4.40%,混合型,4.83亿元（2019-12-31）,2015-06-26,光大保德信基金
001457,华商新常态混合,0.15%,100元起购,14.79%,26.16%,35.79%,58.28%,8.29%,31.06%,混合型,2.55亿元（2019-12-31）,2015-06-29,华商基金
001455,景顺长城中证500ETF联接,0.12%,100元起购,8.49%,17.69%,18.04%,22.15%,-3.71%,-19.50%,联接基金,3.28亿元（2019-12-31）,2015-06-29,景顺长城基金
001610,平安鑫享混合C,0.00%,100元起购,1.73%,2.92%,4.22%,8.67%,13.31%,22.15%,混合型,2.86亿元（2019-12-31）,2015-07-28,平安基金
001609,平安鑫享混合A,0.12%,100元起购,1.79%,3.16%,4.63%,9.30%,13.99%,22.42%,混合型,0.36亿元（2019-12-31）,2015-07-28,平安基金
001608,英大策略优选C,0.00%,100元起购,9.74%,20.13%,26.52%,49.08%,69.32%,65.81%,混合型,0.07亿元（2019-12-31）,2015-12-02,英大基金
001607,英大策略优选A,0.08%,100元起购,9.77%,20.26%,26.62%,48.63%,52.33%,72.10%,混合型,1.20亿元（2019-12-31）,2015-12-02,英大基金
001604,浙商汇金转型升级灵活配置混合,0.15%,1000元起购,5.41%,14.13%,16.40%,34.95%,24.92%,22.80%,混合型,0.31亿元（2019-12-31）,2016-02-03,浙商证券资管
001606,农银工业4.0混合,0.15%,100元起购,21.55%,42.95%,46.72%,66.18%,63.84%,75.14%,混合型,1.54亿元（2019-12-31）,2015-08-13,农银汇理基金
001603,易方达安盈回报混合,0.10%,100元起购,9.82%,24.48%,29.38%,45.79%,67.63%,67.80%,混合型,2.66亿元（2019-12-31）,2017-02-16,易方达基金
001605,国富沪港深成长精选股票,0.15%,100元起购,8.35%,17.55%,24.75%,45.84%,78.74%,64.80%,股票型,7.57亿元（2019-12-31）,2016-01-20,国海富兰克林基金
001827,富国研究优选沪港深混合,0.15%,100元起购,6.58%,14.25%,19.17%,34.90%,39.47%,52.30%,混合型,0.87亿元（2019-12-31）,2016-03-08,富国基金
001882,中欧价值发现混合E,暂停申购,暂停申购,3.55%,12.01%,10.21%,16.84%,25.86%,67.40%,混合型,0.50亿元（2019-12-31）,2015-10-08,中欧基金
001915,宝盈医疗健康沪港深股票,0.15%,100元起购,8.08%,17.48%,29.76%,85.47%,57.18%,39.10%,股票型,1.79亿元（2019-12-31）,2015-12-02,宝盈基金
001914,中信建投聚利混合A,0.12%,100元起购,5.85%,6.38%,9.96%,15.88%,1.88%,4.73%,混合型,0.31亿元（2019-12-31）,2015-11-11,中信建投基金
001911,博时裕恒纯债债券,0.08%,100元起购,0.95%,1.87%,2.40%,4.49%,16.32%,20.94%,债券型,25.81亿元（2019-12-31）,2015-10-23,博时基金
001908,国投瑞银境煊灵活配置混合C,0.00%,100元起购,13.67%,33.91%,40.60%,54.05%,79.43%,85.89%,混合型,0.55亿元（2019-12-31）,2015-10-28,国投瑞银基金
001910,泰康新机遇混合,0.15%,100元起购,6.46%,10.32%,13.13%,27.53%,31.17%,47.18%,混合型,27.25亿元（2019-12-31）,2015-12-08,泰康资产
001909,创金合信货币A,0.00%,100元起购,0.29%,0.79%,1.52%,2.99%,10.60%,14.64%,货币型,63.35亿元（2019-12-31）,2015-10-22,创金合信基金
001907,国投瑞银境煊灵活配置混合A,0.15%,100元起购,13.72%,34.11%,40.99%,55.73%,83.59%,92.03%,混合型,0.66亿元（2019-12-31）,2015-10-28,国投瑞银基金
001990,中欧数据挖掘混合A,0.15%,100元起购,12.03%,26.16%,36.94%,52.62%,39.07%,55.30%,混合型,1.66亿元（2019-12-31）,2016-01-13,中欧基金
001988,南方纯元A,0.08%,100元起购,0.80%,1.73%,2.22%,3.95%,--,14.73%,债券型,35.95亿元（2019-12-31）,2017-05-23,南方基金
001986,前海开源人工智能主题混合,0.15%,100元起购,11.52%,30.99%,36.61%,44.48%,46.13%,53.00%,混合型,8.58亿元（2019-12-31）,2016-05-04,前海开源基金
001985,富国低碳新经济混合,0.15%,100元起购,19.28%,37.89%,41.88%,77.15%,95.66%,120.90%,混合型,10.99亿元（2019-12-31）,2015-12-18,富国基金
002164,汇添富新睿精选混合C,0.00%,100元起购,0.89%,2.06%,3.30%,5.21%,18.80%,19.51%,混合型,0.19亿元（2019-12-31）,2016-12-21,汇添富基金
001989,南方纯元C,0.00%,100元起购,0.76%,1.62%,2.02%,3.50%,--,12.88%,债券型,0.03亿元（2019-12-31）,2017-05-23,南方基金
002163,东方惠新灵活配置混合C,0.00%,100元起购,0.26%,0.83%,1.33%,2.29%,98.58%,104.97%,混合型,19.59亿元（2019-12-31）,2015-11-20,东方基金
001987,东方金元宝货币,0.00%,100元起购,0.24%,0.68%,1.28%,2.58%,10.50%,14.55%,货币型,2.46亿元（2019-12-31）,2015-11-23,东方基金
002162,东方新价值混合C,暂停申购,暂停申购,2.25%,3.12%,6.99%,8.91%,11.37%,7.04%,混合型,1.97亿元（2019-12-31）,2015-11-23,东方基金
002161,银华万物互联灵活配置混合,0.15%,100元起购,2.73%,4.78%,7.79%,10.39%,--,5.20%,混合型,3.62亿元（2019-12-31）,2017-05-02,银华基金
002059,国泰浓益灵活配置混合C,暂停申购,暂停申购,3.32%,5.77%,7.51%,13.15%,9.06%,113.74%,混合型,2.09亿元（2019-12-31）,2015-11-16,国泰基金
002058,中银新机遇混合C,0.00%,100元起购,3.33%,7.64%,9.60%,18.02%,31.51%,39.54%,混合型,0.21亿元（2019-12-31）,2015-11-19,中银基金
002160,南方驱动混合,0.15%,100元起购,15.39%,31.36%,46.69%,85.02%,89.04%,117.40%,混合型,2.66亿元（2019-12-31）,2016-03-23,南方基金
002159,东吴国企改革,0.15%,1000元起购,17.00%,21.12%,16.86%,16.32%,-7.08%,-0.20%,混合型,0.17亿元（2019-12-31）,2015-12-30,东吴基金
002158,汇添富安鑫智选混合C,0.00%,100元起购,5.55%,10.92%,12.11%,26.69%,43.68%,50.43%,混合型,0.03亿元（2019-12-31）,2015-11-26,汇添富基金
002157,长盛盛世混合C,0.15%,100元起购,2.79%,5.95%,7.87%,17.47%,12.61%,16.44%,混合型,0.96亿元（2019-12-31）,2015-12-11,长盛基金
002259,鹏华健康环保混合,0.15%,100元起购,10.64%,22.77%,34.37%,56.26%,61.34%,73.60%,混合型,0.67亿元（2019-12-31）,2016-01-20,鹏华基金
002258,大成国企改革灵活配置混合,0.15%,100元起购,5.55%,11.75%,21.18%,45.61%,--,29.30%,混合型,1.14亿元（2019-12-31）,2017-09-21,大成基金
002256,金信行业优选混合发起式,0.15%,100元起购,7.74%,10.48%,20.00%,44.62%,13.25%,12.80%,混合型,0.18亿元（2019-12-31）,2016-04-01,金信基金
002255,长信金葵纯债C,0.00%,100元起购,0.90%,1.86%,2.41%,3.50%,15.44%,19.22%,定开债券,0.13亿元（2019-12-31）,2016-01-27,长信基金
002358,国投瑞银瑞祥,0.15%,100元起购,7.88%,12.07%,13.02%,27.06%,34.62%,37.31%,混合型,1.18亿元（2019-12-31）,2016-03-02,国投瑞银基金
002357,博时安泰18个月定开债C,0.00%,100元起购,1.49%,2.93%,3.62%,6.45%,13.58%,14.49%,定开债券,0.06亿元（2019-12-31）,2016-02-04,博时基金
002356,博时安泰18个月定开债A,0.06%,100元起购,1.57%,3.09%,3.97%,7.11%,15.67%,17.41%,定开债券,2.39亿元（2019-12-31）,2016-02-04,博时基金
002351,易方达裕祥回报债券,暂停申购,暂停申购,2.62%,8.13%,11.98%,18.87%,41.78%,44.90%,债券型,49.96亿元（2019-12-31）,2016-01-22,易方达基金
002355,国投瑞银岁赢利债券,0.06%,100元起购,0.45%,0.90%,1.36%,6.15%,10.98%,13.64%,债券型,0.14亿元（2019-12-31）,2016-03-29,国投瑞银基金
002354,博时裕腾纯债,0.08%,100元起购,1.25%,2.24%,3.01%,6.15%,18.38%,20.28%,债券型,4.19亿元（2019-12-31）,2016-01-18,博时基金
002350,华安安华灵活配置混合,暂停申购,暂停申购,1.88%,2.67%,4.56%,5.69%,12.13%,14.04%,混合型,13.33亿元（2019-12-31）,2016-02-03,华安基金
002345,华夏高端制造混合,0.15%,100元起购,16.47%,33.78%,34.69%,43.48%,-3.98%,-1.00%,混合型,1.07亿元（2019-12-31）,2016-05-11,华夏基金
002435,中银宏利混合C,0.00%,100元起购,3.17%,7.29%,9.91%,19.34%,35.88%,39.54%,混合型,0.08亿元（2019-12-31）,2016-08-01,中银基金
002436,上投摩根红利回报混合C,暂停申购,暂停申购,2.12%,7.30%,7.63%,10.67%,9.28%,12.74%,混合型,0.14亿元（2019-12-31）,2016-02-15,上投摩根基金
002434,中银宏利混合A,0.10%,100元起购,3.27%,7.41%,10.04%,19.14%,36.16%,39.97%,混合型,5.11亿元（2019-12-31）,2016-08-01,中银基金
002430,中银丰利混合A,0.10%,100元起购,4.63%,9.34%,10.69%,23.12%,37.21%,38.31%,混合型,5.08亿元（2019-12-31）,2016-08-11,中银基金
002429,华安全球美元票息债C,0.00%,100元起购,2.64%,0.95%,2.10%,10.42%,8.16%,16.60%,QDII,0.14亿元（2019-12-31）,2016-06-03,华安基金
002431,中银丰利混合C,0.00%,100元起购,4.63%,9.34%,10.69%,23.13%,36.71%,37.67%,混合型,0.14亿元（2019-12-31）,2016-08-11,中银基金
002427,华安全球美元票息债美元现汇A,暂停申购,暂停申购,0.30%,1.08%,2.67%,6.15%,7.64%,11.25%,QDII,2.24亿元（2019-12-31）,2016-06-03,华安基金
002426,华安全球美元票息债人民币A,0.08%,100元起购,2.59%,1.02%,2.33%,10.83%,9.81%,18.70%,QDII,2.24亿元（2019-12-31）,2016-06-03,华安基金
002555,博时沪港深优质企业基金C,0.00%,100元起购,9.10%,21.48%,24.04%,40.15%,64.97%,89.33%,混合型,7.33亿元（2019-12-31）,2016-03-22,博时基金
002553,博时创业成长混合C,0.00%,100元起购,6.31%,12.64%,17.30%,38.78%,17.95%,41.57%,混合型,0.10亿元（2019-12-31）,2016-03-22,博时基金
002552,华夏恒利定开债,暂停申购,暂停申购,1.91%,3.64%,3.91%,5.58%,15.27%,16.54%,定开债券,0.58亿元（2019-12-31）,2016-03-29,华夏基金
002550,嘉实稳荣债券,暂停申购,暂停申购,0.88%,1.87%,2.26%,4.23%,15.52%,15.86%,债券型,10.20亿元（2019-12-31）,2016-12-02,嘉实基金
002602,易方达丰惠混合,0.10%,100元起购,2.66%,7.33%,12.11%,16.28%,--,15.70%,混合型,0.48亿元（2019-12-31）,2017-03-24,易方达基金
002601,中银证券价值精选混合,0.15%,100元起购,14.85%,20.81%,21.83%,22.60%,25.27%,26.92%,混合型,1.89亿元（2019-12-31）,2016-04-29,中银证券
002600,易方达裕景添利6个月定开债,暂停申购,暂停申购,2.06%,4.64%,6.90%,10.47%,25.73%,29.25%,定开债券,20.96亿元（2019-12-31）,2016-04-12,易方达基金
002599,平安消费精选混合C,0.00%,100元起购,5.31%,6.77%,10.28%,20.95%,-12.05%,-16.18%,混合型,0.07亿元（2019-12-31）,2016-06-08,平安基金
002669,华商万众创新混合,0.15%,100元起购,20.02%,43.51%,57.92%,93.04%,43.36%,41.50%,混合型,1.07亿元（2019-12-31）,2016-06-28,华商基金
002668,兴业聚丰灵活配置混合,0.15%,100元起购,1.06%,2.07%,2.83%,5.29%,14.14%,23.50%,混合型,5.29亿元（2019-12-31）,2016-07-13,兴业基金
002667,前海开源沪港深创新成长混合C,0.15%,100元起购,4.83%,11.70%,14.01%,14.57%,48.43%,53.62%,混合型,0.57亿元（2019-12-31）,2016-06-24,前海开源基金
002666,前海开源沪港深创新成长混合A,0.15%,100元起购,4.92%,11.80%,14.08%,14.72%,49.93%,55.48%,混合型,0.35亿元（2019-12-31）,2016-06-24,前海开源基金
002665,万家瑞和灵活配置混合C,0.00%,100元起购,0.97%,2.06%,2.58%,4.80%,17.57%,21.17%,混合型,8.06亿元（2019-12-31）,2016-04-26,万家基金
002664,万家瑞和灵活配置混合A,0.06%,100元起购,0.98%,2.26%,3.28%,5.84%,23.08%,27.08%,混合型,0.00亿元（2019-12-31）,2016-04-26,万家基金
